NOM_ENT,NOM_MUN,id,Homicides in 2013,Homicide Rate in 2013,3x1 Projects Granted in 2013,Homicides in 2014,Homicide Rate in 2014,3x1 Projects Granted in 2014
Aguascalientes,Aguascalientes,1001,19,2.383909863,6,31,3.889537145,6
Aguascalientes,Asientos,1002,5,10.99094346,2,0,0,9
Aguascalientes,Calvillo,1003,0,0,17,2,3.694399291,10
Aguascalientes,Cosio,1004,0,0,2,0,0,5
Aguascalientes,Jesus Maria,1005,7,7.028818154,0,6,6.024701275,2
Aguascalientes,Pabellon de Arteaga,1006,1,2.3888013,1,0,0,1
Aguascalientes,Rincon de Romos,1007,2,4.068679307,2,1,2.034339653,3
Aguascalientes,San Jose de Gracia,1008,0,0,4,0,0,3
Aguascalientes,Tepezala,1009,0,0,1,0,0,4
Aguascalientes,El Llano,1010,1,5.311238581,0,1,5.311238581,0
Aguascalientes,San Francisco de los Romo,1011,4,11.18286785,0,1,2.795716962,1
Baja California,Ensenada,2001,48,10.28246796,1,50,10.71090413,1
Baja California,Mexicali,2002,151,16.11825462,0,134,14.30361668,0
Baja California,Tecate,2003,34,33.63705616,0,23,22.75447917,0
Baja California,Tijuana,2004,492,31.54487162,17,462,29.62140384,15
Baja California,Playas de Rosarito,2005,50,55.14624785,0,45,49.63162306,6
Baja California Sur,Comondu,3001,2,2.824220515,0,1,1.412110258,0
Baja California Sur,Mulege,3002,9,15.22481984,0,4,6.766586595,0
Baja California Sur,La Paz,3003,24,9.528687304,0,49,19.45440325,0
Baja California Sur,Los Cabos,3008,20,8.386201344,0,14,5.870340941,0
Baja California Sur,Loreto,3009,1,5.974429442,0,2,11.94885888,0
Campeche,Calkini,4001,1,1.890716582,1,1,1.890716582,2
Campeche,Campeche,4002,11,4.247022258,1,9,3.474836393,0
Campeche,Carmen,4003,25,11.30740771,3,28,12.66429663,0
Campeche,Champoton,4004,6,7.227087123,2,8,9.636116163,4
Campeche,Hecelchakan,4005,1,3.532819897,0,1,3.532819897,0
Campeche,Hopelchen,4006,0,0,0,1,2.647113323,0
Campeche,Palizada,4007,0,0,0,0,0,1
Campeche,Tenabo,4008,1,10.27115859,0,0,0,1
Campeche,Escarcega,4009,10,18.45563266,3,5,9.22781633,2
Campeche,Calakmul,4010,2,7.439922625,1,2,7.439922625,2
Campeche,Candelaria,4011,10,24.27537991,2,10,24.27537991,1
Coahuila,Abasolo,5001,2,186.9158879,0,1,93.45794393,0
Coahuila,Acuna,5002,13,9.506050967,0,20,14.6246938,0
Coahuila,Allende,5003,8,35.28114664,0,0,0,0
Coahuila,Arteaga,5004,7,31.05039035,0,2,8.871540099,0
Coahuila,Candela,5005,0,0,0,0,0,0
Coahuila,Castanos,5006,4,15.44878727,0,6,23.17318091,0
Coahuila,Cuatro Cienegas,5007,0,0,0,3,23.05386921,0
Coahuila,Escobedo,5008,1,34.47087211,0,0,0,0
Coahuila,Francisco I. Madero,5009,15,26.94159063,0,4,7.184424168,0
Coahuila,Frontera,5010,13,17.28378648,0,7,9.306654258,0
Coahuila,General Cepeda,5011,1,8.560178052,0,1,8.560178052,0
Coahuila,Guerrero,5012,3,143.472023,0,2,95.6480153,0
Coahuila,Hidalgo,5013,0,0,0,3,161.987041,0
Coahuila,Jimenez,5014,3,30.19627579,0,3,30.19627579,0
Coahuila,Juarez,5015,0,0,0,2,125.0781739,0
Coahuila,Lamadrid,5016,1,54.49591281,0,0,0,0
Coahuila,Matamoros,5017,54,50.39193729,0,6,5.599104143,0
Coahuila,Monclova,5018,45,20.81348344,0,42,19.42591787,0
Coahuila,Morelos,5019,0,0,0,2,24.36944072,0
Coahuila,Muzquiz,5020,8,11.96995541,0,10,14.96244426,0
Coahuila,Nadadores,5021,0,0,0,0,0,0
Coahuila,Nava,5022,4,14.32254368,0,3,10.74190776,0
Coahuila,Ocampo,5023,0,0,0,1,9.098353198,0
Coahuila,Parras,5024,3,6.60778397,0,2,4.405189313,0
Coahuila,Piedras Negras,5025,32,20.94158606,0,28,18.32388781,0
Coahuila,Progreso,5026,3,86.38065073,0,0,0,0
Coahuila,Ramos Arizpe,5027,18,23.85338122,0,10,13.25187845,0
Coahuila,Sabinas,5028,14,23.00852959,0,5,8.217331997,0
Coahuila,Sacramento,5029,0,0,0,0,0,0
Coahuila,Saltillo,5030,76,10.48098047,0,46,6.343751336,0
Coahuila,San Buenaventura,5031,2,9.029753036,0,6,27.08925911,0
Coahuila,San Juan de Sabinas,5032,3,7.203054095,0,6,14.40610819,0
Coahuila,San Pedro,5033,62,60.39941549,0,6,5.845104725,0
Coahuila,Sierra Mojada,5034,1,15.68627451,0,0,0,0
Coahuila,Torreon,5035,239,37.36541026,0,157,24.54547871,0
Coahuila,Viesca,5036,7,32.83456072,0,2,9.381303063,0
Coahuila,Villa Union,5037,0,0,0,1,15.90077914,0
Coahuila,Zaragoza,5038,3,23.61832782,0,3,23.61832782,0
Colima,Armeria,6001,23,80.15333682,0,11,38.33420457,0
Colima,Colima,6002,39,26.54794968,6,20,13.61433317,11
Colima,Comala,6003,0,0,5,3,14.36231329,2
Colima,Coquimatlan,6004,4,20.63451122,5,6,30.95176683,0
Colima,Cuauhtemoc,6005,6,22.134504,15,4,14.756336,1
Colima,Ixtlahuacan,6006,2,37.73584906,7,0,0,6
Colima,Manzanillo,6007,54,33.4531037,28,22,13.62904225,12
Colima,Minatitlan,6008,1,12.23391241,4,3,36.70173722,3
Colima,Tecoman,6009,45,39.91980555,5,22,19.51634938,9
Colima,Villa de Alvarez,6010,4,3.334556004,0,8,6.669112008,1
Chiapas,Acacoyagua,7001,2,11.89484953,0,2,11.89484953,0
Chiapas,Acala,7002,2,6.909178844,0,3,10.36376827,1
Chiapas,Acapetahua,7003,2,7.251631617,0,1,3.625815809,0
Chiapas,Altamirano,7004,0,0,0,1,3.348401138,0
Chiapas,Amatan,7005,2,9.400705053,0,1,4.700352526,0
Chiapas,Amatenango de la Frontera,7006,2,6.768876705,1,0,0,0
Chiapas,Amatenango del Valle,7007,0,0,0,1,11.45737855,0
Chiapas,Angel Albino Corzo,7008,3,11.26633619,0,7,26.28811777,0
Chiapas,Arriaga,7009,10,24.97377753,0,13,32.46591079,3
Chiapas,Bejucal de Ocampo,7010,0,0,0,0,0,0
Chiapas,Bella Vista,7011,3,15.55935895,0,2,10.37290597,0
Chiapas,Berriozabal,7012,1,2.315940619,0,5,11.5797031,0
Chiapas,Bochil,7013,2,6.5269891,0,3,9.79048365,0
Chiapas,El Bosque,7014,1,5.388221348,0,2,10.7764427,0
Chiapas,Cacahoatan,7015,3,6.847595353,0,4,9.130127137,0
Chiapas,Catazaja,7016,0,0,0,1,5.834305718,0
Chiapas,Cintalapa,7017,6,7.681081496,0,7,8.961261746,5
Chiapas,Coapilla,7018,1,11.84272856,0,0,0,0
Chiapas,Comitan de Dominguez,7019,7,4.964081326,0,13,9.219008177,0
Chiapas,La Concordia,7020,6,13.61099769,0,2,4.536999229,0
Chiapas,Copainala,7021,1,4.750593824,0,2,9.501187648,0
Chiapas,Chalchihuitan,7022,1,7.129108149,0,3,21.38732445,0
Chiapas,Chamula,7023,6,7.798183023,0,2,2.599394341,0
Chiapas,Chanal,7024,1,9.244707405,0,0,0,0
Chiapas,Chapultenango,7025,0,0,0,1,13.63884343,0
Chiapas,Chenalho,7026,1,2.76923929,0,1,2.76923929,0
Chiapas,Chiapa de Corzo,7027,11,12.5566476,0,14,15.98118786,0
Chiapas,Chiapilla,7028,0,0,0,0,0,0
Chiapas,Chicoasen,7029,3,59.78477481,0,0,0,0
Chiapas,Chicomuselo,7030,2,6.346184357,0,0,0,0
Chiapas,Chilon,7031,12,10.75712211,12,10,8.964268426,0
Chiapas,Escuintla,7032,3,9.977384595,0,4,13.30317946,1
Chiapas,Francisco Leon,7033,0,0,0,1,14.28571429,0
Chiapas,Frontera Comalapa,7034,9,13.43043037,0,8,11.93816033,0
Chiapas,Frontera Hidalgo,7035,2,15.79155152,0,0,0,0
Chiapas,La Grandeza,7036,0,0,0,1,13.75137514,0
Chiapas,Huehuetan,7037,0,0,0,0,0,0
Chiapas,Huixtan,7038,0,0,0,1,4.649648952,0
Chiapas,Huitiupan,7039,3,13.31203408,0,3,13.31203408,0
Chiapas,Huixtla,7040,4,7.788313635,0,11,21.4178625,0
Chiapas,La Independencia,7041,1,2.423302477,0,0,0,5
Chiapas,Ixhuatan,7042,0,0,0,0,0,0
Chiapas,Ixtacomitan,7043,1,9.827044025,0,0,0,0
Chiapas,Ixtapa,7044,0,0,0,1,4.078802464,1
Chiapas,Ixtapangajoya,7045,0,0,0,0,0,0
Chiapas,Jiquipilas,7046,8,21.15394786,0,1,2.644243482,0
Chiapas,Jitotol,7047,1,5.352459455,0,3,16.05737837,0
Chiapas,Juarez,7048,4,18.97173212,0,2,9.48586606,0
Chiapas,Larrainzar,7049,2,9.828492801,0,1,4.9142464,0
Chiapas,La Libertad,7050,1,20.10454363,0,1,20.10454363,0
Chiapas,Mapastepec,7051,6,13.66337986,0,3,6.831689932,0
Chiapas,Las Margaritas,7052,5,4.484948513,0,3,2.690969108,1
Chiapas,Mazapa de Madero,7053,0,0,0,0,0,0
Chiapas,Mazatan,7054,8,30.10574643,0,4,15.05287322,0
Chiapas,Metapa,7055,0,0,0,2,39.73773098,0
Chiapas,Mitontic,7056,1,8.962982881,0,0,0,0
Chiapas,Motozintla,7057,3,4.340340572,0,4,5.787120763,4
Chiapas,Nicolas Ruiz,7058,0,0,0,0,0,0
Chiapas,Ocosingo,7059,10,5.028233531,0,9,4.525410178,0
Chiapas,Ocotepec,7060,1,8.418925745,0,0,0,0
Chiapas,Ocozocoautla de Espinosa,7061,14,17.06089521,0,6,7.311812233,1
Chiapas,Ostuacan,7062,1,5.859260561,0,3,17.57778168,0
Chiapas,Osumacinta,7063,1,26.37130802,0,1,26.37130802,0
Chiapas,Oxchuc,7064,2,4.61361015,0,1,2.306805075,1
Chiapas,Palenque,7065,13,11.72037,0,11,9.917236156,0
Chiapas,Pantelho,7066,11,53.42658701,0,2,9.713924911,0
Chiapas,Pantepec,7067,1,9.199632015,0,1,9.199632015,0
Chiapas,Pichucalco,7068,5,16.77120719,0,5,16.77120719,0
Chiapas,Pijijiapan,7069,8,15.97475988,0,4,7.98737994,3
Chiapas,El Porvenir,7070,0,0,0,0,0,0
Chiapas,Villa Comaltitlan,7071,3,10.75307359,0,1,3.584357862,0
Chiapas,Pueblo Nuevo Solistahuacan,7072,7,22.52614642,0,12,38.61625101,0
Chiapas,Rayon,7073,0,0,0,2,22.21728505,0
Chiapas,Reforma,7074,3,7.369015745,0,3,7.369015745,0
Chiapas,Las Rosas,7075,0,0,2,2,7.833920877,0
Chiapas,Sabanilla,7076,0,0,0,1,3.97030214,0
Chiapas,Salto de Agua,7077,1,1.746633364,0,2,3.493266728,0
Chiapas,San Cristobal de las Casas,7078,11,5.916618706,0,7,3.765120995,0
Chiapas,San Fernando,7079,8,24.1984271,0,3,9.074410163,0
Chiapas,Siltepec,7080,2,5.243426055,0,7,18.35199119,0
Chiapas,Simojovel,7081,4,9.926297243,0,5,12.40787155,0
Chiapas,Sitala,7082,3,24.45187057,0,2,16.30124705,0
Chiapas,Socoltenango,7083,3,17.51824818,0,0,0,0
Chiapas,Solosuchiapa,7084,1,12.39925604,0,0,0,0
Chiapas,Soyalo,7085,2,20.5338809,0,1,10.26694045,0
Chiapas,Suchiapa,7086,2,9.503444999,0,1,4.751722499,0
Chiapas,Suchiate,7087,4,11.41031492,0,12,34.23094477,0
Chiapas,Sunuapa,7088,0,0,0,3,134.2281879,0
Chiapas,Tapachula,7089,60,18.72361141,0,40,12.48240761,0
Chiapas,Tapalapa,7090,2,48.53190973,0,0,0,0
Chiapas,Tapilula,7091,2,16.43385374,0,1,8.216926869,0
Chiapas,Tecpatan,7092,6,14.61810208,0,6,14.61810208,1
Chiapas,Tenejapa,7093,1,2.483361478,1,1,2.483361478,0
Chiapas,Teopisca,7094,0,0,0,1,2.659079427,0
Chiapas,Tila,7096,4,5.599731213,0,1,1.399932803,0
Chiapas,Tonala,7097,12,14.18540322,0,6,7.09270161,5
Chiapas,Totolapa,7098,0,0,0,0,0,0
Chiapas,La Trinitaria,7099,3,4.122634638,0,3,4.122634638,1
Chiapas,Tumbala,7100,0,0,0,1,3.152286984,0
Chiapas,Tuxtla Gutierrez,7101,52,9.396899746,0,42,7.589803641,3
Chiapas,Tuxtla Chico,7102,5,13.24959589,0,1,2.649919177,0
Chiapas,Tuzantan,7103,1,3.554039166,0,1,3.554039166,1
Chiapas,Tzimol,7104,0,0,0,0,0,1
Chiapas,Union Juarez,7105,1,7.097735822,0,2,14.19547164,0
Chiapas,Venustiano Carranza,7106,15,24.45346506,1,8,13.04184803,0
Chiapas,Villa Corzo,7107,13,17.45505324,0,10,13.42696403,1
Chiapas,Villaflores,7108,9,9.12612302,0,1,1.014013669,5
